"year","quantity","state"
"1538","0","Bahia"
"1539","0","Bahia"
"1540","0","Bahia"
"1541","0","Bahia"
"1542","0","Bahia"
"1543","0","Bahia"
"1544","0","Bahia"
"1545","0","Bahia"
"1546","0","Bahia"
"1547","0","Bahia"
"1548","0","Bahia"
"1549","0","Bahia"
"1550","0","Bahia"
"1551","0","Bahia"
"1552","0","Bahia"
"1553","0","Bahia"
"1554","0","Bahia"
"1555","0","Bahia"
"1556","0","Bahia"
"1557","0","Bahia"
"1558","0","Bahia"
"1559","0","Bahia"
"1560","0","Bahia"
"1561","0","Bahia"
"1562","0","Bahia"
"1563","0","Bahia"
"1564","0","Bahia"
"1565","0","Bahia"
"1566","0","Bahia"
"1567","0","Bahia"
"1568","0","Bahia"
"1569","0","Bahia"
"1570","0","Bahia"
"1571","0","Bahia"
"1572","0","Bahia"
"1573","0","Bahia"
"1574","0","Bahia"
"1575","0","Bahia"
"1576","0","Bahia"
"1577","0","Bahia"
"1578","0","Bahia"
"1579","0","Bahia"
"1580","0","Bahia"
"1581","0","Bahia"
"1582","166","Bahia"
"1583","166","Bahia"
"1584","166","Bahia"
"1585","166","Bahia"
"1586","166","Bahia"
"1587","166","Bahia"
"1588","166","Bahia"
"1589","166","Bahia"
"1590","166","Bahia"
"1591","166","Bahia"
"1592","166","Bahia"
"1593","166","Bahia"
"1594","166","Bahia"
"1595","166","Bahia"
"1596","166","Bahia"
"1597","166","Bahia"
"1598","166","Bahia"
"1599","166","Bahia"
"1600","166","Bahia"
"1601","166","Bahia"
"1602","166","Bahia"
"1603","166","Bahia"
"1604","166","Bahia"
"1605","166","Bahia"
"1606","166","Bahia"
"1607","193","Bahia"
"1608","193","Bahia"
"1609","193","Bahia"
"1610","402","Bahia"
"1611","507","Bahia"
"1612","507","Bahia"
"1613","507","Bahia"
"1614","507","Bahia"
"1615","507","Bahia"
"1616","507","Bahia"
"1617","507","Bahia"
"1618","507","Bahia"
"1619","507","Bahia"
"1620","507","Bahia"
"1621","507","Bahia"
"1622","507","Bahia"
"1623","507","Bahia"
"1624","943","Bahia"
"1625","943","Bahia"
"1626","1091","Bahia"
"1627","1696","Bahia"
"1628","1696","Bahia"
"1629","1696","Bahia"
"1630","1696","Bahia"
"1631","1696","Bahia"
"1632","1696","Bahia"
"1633","1696","Bahia"
"1634","1696","Bahia"
"1635","1696","Bahia"
"1636","1696","Bahia"
"1637","1696","Bahia"
"1638","1696","Bahia"
"1639","1696","Bahia"
"1640","1696","Bahia"
"1641","1956","Bahia"
"1642","1956","Bahia"
"1643","1956","Bahia"
"1644","2324","Bahia"
"1645","2324","Bahia"
"1646","4231","Bahia"
"1647","4231","Bahia"
"1648","4231","Bahia"
"1649","4389","Bahia"
"1650","5790","Bahia"
"1651","5999","Bahia"
"1652","6564","Bahia"
"1653","6920","Bahia"
"1654","6920","Bahia"
"1655","6920","Bahia"
"1656","6920","Bahia"
"1657","6920","Bahia"
"1658","6920","Bahia"
"1659","6920","Bahia"
"1660","6920","Bahia"
"1661","7276","Bahia"
"1662","7276","Bahia"
"1663","7276","Bahia"
"1664","7904","Bahia"
"1665","8260","Bahia"
"1666","8260","Bahia"
"1667","8469","Bahia"
"1668","8469","Bahia"
"1669","8469","Bahia"
"1670","8469","Bahia"
"1671","9726","Bahia"
"1672","9935","Bahia"
"1673","9935","Bahia"
"1674","9935","Bahia"
"1675","9935","Bahia"
"1676","10551","Bahia"
"1677","10969","Bahia"
"1678","12037","Bahia"
"1679","12586","Bahia"
"1680","14093","Bahia"
"1681","14438","Bahia"
"1682","14757","Bahia"
"1683","14862","Bahia"
"1684","16329","Bahia"
"1685","18171","Bahia"
"1686","18855","Bahia"
"1687","18855","Bahia"
"1688","20244","Bahia"
"1689","20244","Bahia"
"1690","23219","Bahia"
"1691","26718","Bahia"
"1692","30025","Bahia"
"1693","31469","Bahia"
"1694","33040","Bahia"
"1695","36376","Bahia"
"1696","40567","Bahia"
"1697","46375","Bahia"
"1698","54808","Bahia"
"1699","60330","Bahia"
"1700","67205","Bahia"
"1701","72261","Bahia"
"1702","72261","Bahia"
"1703","77286","Bahia"
"1704","81634","Bahia"
"1705","85419","Bahia"
"1706","85419","Bahia"
"1707","92392","Bahia"
"1708","96848","Bahia"
"1709","101575","Bahia"
"1710","106199","Bahia"
"1711","111997","Bahia"
"1712","120371","Bahia"
"1713","129020","Bahia"
"1714","135854","Bahia"
"1715","141897","Bahia"
"1716","149756","Bahia"
"1717","156858","Bahia"
"1718","164421","Bahia"
"1719","170346","Bahia"
"1720","176548","Bahia"
"1721","182070","Bahia"
"1722","186984","Bahia"
"1723","194228","Bahia"
"1724","208684","Bahia"
"1725","215608","Bahia"
"1726","225340","Bahia"
"1727","233606","Bahia"
"1728","244705","Bahia"
"1729","254719","Bahia"
"1730","260045","Bahia"
"1731","271877","Bahia"
"1732","278624","Bahia"
"1733","286379","Bahia"
"1734","296313","Bahia"
"1735","304081","Bahia"
"1736","312496","Bahia"
"1737","320938","Bahia"
"1738","320938","Bahia"
"1739","328159","Bahia"
"1740","337141","Bahia"
"1741","340665","Bahia"
"1742","350746","Bahia"
"1743","356368","Bahia"
"1744","368463","Bahia"
"1745","372485","Bahia"
"1746","378790","Bahia"
"1747","390877","Bahia"
"1748","400053","Bahia"
"1749","410400","Bahia"
"1750","423895","Bahia"
"1751","431200","Bahia"
"1752","440442","Bahia"
"1753","449903","Bahia"
"1754","455317","Bahia"
"1755","462074","Bahia"
"1756","470027","Bahia"
"1757","476546","Bahia"
"1758","482728","Bahia"
"1759","487677","Bahia"
"1760","494601","Bahia"
"1761","501230","Bahia"
"1762","507252","Bahia"
"1763","512650","Bahia"
"1764","515951","Bahia"
"1765","522182","Bahia"
"1766","531559","Bahia"
"1767","538632","Bahia"
"1768","545574","Bahia"
"1769","552845","Bahia"
"1770","557627","Bahia"
"1771","564122","Bahia"
"1772","568216","Bahia"
"1773","574003","Bahia"
"1774","581745","Bahia"
"1775","590562","Bahia"
"1776","590562","Bahia"
"1777","594119","Bahia"
"1778","594119","Bahia"
"1779","600791","Bahia"
"1780","615058","Bahia"
"1781","627516","Bahia"
"1782","640091","Bahia"
"1783","648095","Bahia"
"1784","657063","Bahia"
"1785","663809","Bahia"
"1786","671190","Bahia"
"1787","673752","Bahia"
"1788","678681","Bahia"
"1789","685395","Bahia"
"1790","692047","Bahia"
"1791","698911","Bahia"
"1792","706166","Bahia"
"1793","715707","Bahia"
"1794","728049","Bahia"
"1795","740144","Bahia"
"1796","748005","Bahia"
"1797","748005","Bahia"
"1798","756924","Bahia"
"1799","765999","Bahia"
"1800","774686","Bahia"
"1801","783680","Bahia"
"1802","788673","Bahia"
"1803","797969","Bahia"
"1804","808536","Bahia"
"1805","818524","Bahia"
"1806","830897","Bahia"
"1807","841502","Bahia"
"1808","847973","Bahia"
"1809","847973","Bahia"
"1810","862701","Bahia"
"1811","871342","Bahia"
"1812","883561","Bahia"
"1813","895116","Bahia"
"1814","906840","Bahia"
"1815","919092","Bahia"
"1816","919092","Bahia"
"1817","931866","Bahia"
"1818","943449","Bahia"
"1819","958792","Bahia"
"1820","968291","Bahia"
"1821","977494","Bahia"
"1822","990530","Bahia"
"1823","995149","Bahia"
"1824","995149","Bahia"
"1825","1001186","Bahia"
"1826","1014409","Bahia"
"1827","1029676","Bahia"
"1828","1036544","Bahia"
"1829","1052841","Bahia"
"1830","1060045","Bahia"
"1831","1060489","Bahia"
"1832","1060933","Bahia"
"1833","1062159","Bahia"
"1834","1062615","Bahia"
"1835","1064034","Bahia"
"1836","1064034","Bahia"
